action,action_art,action_violente,sentiment_negatif,sentiment_positif,pouvoir_domination,etat,habillement,histoire_art,mouvement,parole,position
tenir,chanter ,mordre,affliger,réfugier,diviniser,être,draper,attribuer,arriver,dire,asseoir
faire,danser,foudroyer,sacrifier,animer,couronner,devenir,dévêtir,consacrer,partir,demander,accroupir
porter,jouer,combattre,agacer,embrasser,glorifier,paraître,habiller,dédier,entrer,évoquer,lever
découvrir,lire,blesser,disputer,surmonter,dresser,sembler,ceigner,dessiner,monter,raconter,statufier
allumer,écrire,vaincre,effrayer,sauver,idéaliser,demeurer,revêtir,élever,descendre,appeler,appuyer
accueillir,,mourir,inquiéter,secourir,trôner,rester,déshabiller,ériger,tomber,écouter,coucher
appliquer,,riposter,pleurer,allaiter,servir,appartenir,retirer,exécuter,aller,simuler,dormir
assister,,chuter,supporter,accoucher,diriger,avoir,vêtir,graver,venir,enseigner,lier
boire,,jeter,supplier,admirer,incliner,vivre,apprêter,identifier,renaître,prétendre,déposer
célébrer,,achever,,mirer,gouverner,naître,déguiser,interpréter,traverser,présenter,entourer
chercher,,lutter,,calmer,agenouiller,,frotter,peindre,passer,redemander,étendre
copier,,enchaîner,,caresser,ordonner,,,personnifier,retourner,dénommer,placer
distribuer,,armer,,contempler,exiger,,,publier,tourner,penser,reposer
donner,,traîner,,confier,commander,,,reconnaître,marcher,repenser,poser
devoir,,dompter,,délivrer,adorer,,,refaire,chevaucher,nommer,
entraîner,,griffer,,soulager,destiner,,,représenter,courir,parler,
fabriquer,,lacérer,,séduire,enrichir,,,restaurer,trottiner,dicter,
fleurir,,déchirer,,marier,flatter,,,sculpter,atteindre,exclamer,
forger,,assaillir,,,vouloir,,,commander,approcher,déclamer,
imiter,,brûler,,,pouvoir,,,conserver,accompagner,questionner,
lécher,,battre,,,,,,décorer,atteler,informer,
mettre,,casquer,,,,,,exposer,emporter,enquérir,
offrir,,précipiter,,,,,,figurer,brandir,affirmer,
nourir,,crier,,,,,,laurer,fouler,déclarer,
prendre,,violenter,,,,,,modeler,continuer,répéter,
recevoir,,exploser,,,,,,encadrer,amener,annoncer,
réparer,,tuer,,,,,,,apporter,ajouter,
surprendre,,taper,,,,,,,naviguer,conseiller,
soutenir,,détruire,,,,,,,baisser,recommander,
suspendre,,violer,,,,,,,suivre,préciser,
toucher,,torturer,,,,,,,cheminer,reprendre,
travailler,,assomer,,,,,,,relever,conclure,
verser,,armer,,,,,,,éloigner,dévoiler,
assembler,,attacher,,,,,,,lancer,révéler,
associer,,attaquer,,,,,,,bouger,répondre,
bêcher,,aveugler,,,,,,,hocher,répliquer,
braver,,barrer,,,,,,,agiter,rétorquer,
cacher,,briser,,,,,,,avancer,imaginer,
changer,,couper,,,,,,,remuer,consulter,
compter,,défendre,,,,,,,pencher,éclairer,
consteller,,désarmer,,,,,,,conduire,haranguer,
dénaturer,,écraser,,,,,,,sautiller,hésiter,
disposer,,égorger,,,,,,,gambader,instruire,
emprunter,,enfermer,,,,,,,sauter,interroger,
essuyer,,fulminer,,,,,,,émerger,inventer,
éviter,,tirer,,,,,,,emmener,qualifier,
extraire,,tonner,,,,,,,envoyer,surnommer,
exercer,,torder,,,,,,,filer,usurper,
fermer,,traîner,,,,,,,métamorphoser,,
initier,,tuer,,,,,,,transformer,,
laver,,attraper,,,,,,,revenir,,
manger,,poursuivre,,,,,,,,,
picorer,,accoster,,,,,,,,,
précéder,,acharner,,,,,,,,,
voir,,affronter,,,,,,,,,
trouver,,arracher,,,,,,,,,
tendre,,assommer,,,,,,,,,
soigner,,bander,,,,,,,,,
savoir,,boîter,,,,,,,,,
saisir,,charger,,,,,,,,,
retenir,,chasser,,,,,,,,,
respirer,,crever,,,,,,,,,
regarder,,déjouer,,,,,,,,,
épier,,dévorer,,,,,,,,,
,,enlever,,,,,,,,,
,,kidnapper,,,,,,,,,
,,ensanglanter,,,,,,,,,
,,escorter,,,,,,,,,
,,étouffer,,,,,,,,,
,,étrangler,,,,,,,,,
,,frapper,,,,,,,,,
,,fuir,,,,,,,,,
,,immoler,,,,,,,,,
,,livrer,,,,,,,,,
,,menacer,,,,,,,,,
,,piétiner,,,,,,,,,
,,voler,,,,,,,,,
,,triompher,,,,,,,,,
,,terrasser,,,,,,,,,
,,souffrir,,,,,,,,,
,,ronger,,,,,,,,,
,,rôtir,,,,,,,,,
,,dépouiller,,,,,,,,,
,,balayer,,,,,,,,,
